V1	V2	V3	V4
173	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	optic radiation	<http://purl.obolibrary.org/obo/mba_484682520>
174	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	auditory radiation	<http://purl.obolibrary.org/obo/mba_484682524>
175	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	commissural branch of stria terminalis	<http://purl.obolibrary.org/obo/mba_484682528>
176	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal part of the lateral geniculate complex, shell	<http://purl.obolibrary.org/obo/mba_496345664>
177	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal part of the lateral geniculate complex, core	<http://purl.obolibrary.org/obo/mba_496345668>
178	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	dorsal part of the lateral geniculate complex, ipsilateral zone	<http://purl.obolibrary.org/obo/mba_496345672>
179	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	frontal pole, layer 5	<http://purl.obolibrary.org/obo/mba_526157192>
180	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	frontal pole, layer 6a	<http://purl.obolibrary.org/obo/mba_526157196>
181	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	frontal pole, layer 6b	<http://purl.obolibrary.org/obo/mba_526322264>
182	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	orbital area, medial part, layer 6b	<http://purl.obolibrary.org/obo/mba_527696977>
183	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	lateral strip of striatum	<http://purl.obolibrary.org/obo/mba_549009199>
184	regional part of brain	<http://purl.obolibrary.org/obo/uberon_0002616>	retroparafascicular nucleus	<http://purl.obolibrary.org/obo/mba_549009203>
