?supname	?sup	?subname	?sub
"CA1 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014557>	"field CA1, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/MBA_391>
"CA1 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014557>	"stratum lacunosum-moleculare of CA1"	<http://purl.obolibrary.org/obo/PBA_10062>
"CA1 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014552>	"Field CA1, stratum oriens"	<http://purl.obolibrary.org/obo/DMBA_16132>
"CA1 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014552>	"field CA1, stratum oriens"	<http://purl.obolibrary.org/obo/MBA_399>
"CA1 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014552>	"stratum oriens of CA1"	<http://purl.obolibrary.org/obo/PBA_10059>
"CA1 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014554>	"Field CA1, stratum radiatum"	<http://purl.obolibrary.org/obo/DMBA_16134>
"CA1 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014554>	"field CA1, stratum radiatum"	<http://purl.obolibrary.org/obo/MBA_415>
"CA1 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014554>	"stratum radiatum of CA1"	<http://purl.obolibrary.org/obo/PBA_10061>
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"CA2 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10298>
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"Field CA2"	<http://purl.obolibrary.org/obo/DMBA_16136>
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"CA2 field"	<http://purl.obolibrary.org/obo/HBA_12893>
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"field CA2"	<http://purl.obolibrary.org/obo/MBA_423>
"CA2 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003882>	"CA2 region"	<http://purl.obolibrary.org/obo/PBA_10063>
"CA2 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014558>	"Field CA2, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/DMBA_16137>
"CA2 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014558>	"field CA2, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/MBA_431>
"CA2 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014558>	"stratum lacunosum-moleculare of CA2"	<http://purl.obolibrary.org/obo/PBA_10067>
"CA2 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014551>	"Field CA2, stratum oriens"	<http://purl.obolibrary.org/obo/DMBA_16138>
"CA2 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014551>	"field CA2, stratum oriens"	<http://purl.obolibrary.org/obo/MBA_438>
"CA2 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014551>	"stratum oriens of CA2"	<http://purl.obolibrary.org/obo/PBA_10064>
"CA2 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014555>	"Field CA2, stratum radiatum"	<http://purl.obolibrary.org/obo/DMBA_16140>
"CA2 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014555>	"field CA2, stratum radiatum"	<http://purl.obolibrary.org/obo/MBA_454>
"CA2 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014555>	"stratum radiatum of CA2"	<http://purl.obolibrary.org/obo/PBA_10066>
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"CA3 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10299>
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"Field CA3"	<http://purl.obolibrary.org/obo/DMBA_16141>
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"CA3 field"	<http://purl.obolibrary.org/obo/HBA_12894>
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"field CA3"	<http://purl.obolibrary.org/obo/MBA_463>
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"CA3 region"	<http://purl.obolibrary.org/obo/PBA_10068>
"CA3 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014559>	"Field CA3, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/DMBA_16146>
"CA3 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014559>	"field CA3, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/MBA_471>
"CA3 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014559>	"stratum lacunosum-moleculare of CA3"	<http://purl.obolibrary.org/obo/PBA_10073>
"CA3 stratum lucidum"	<http://purl.obolibrary.org/obo/UBERON_0014560>	"Field CA3, stratum lucidum"	<http://purl.obolibrary.org/obo/DMBA_16144>
"CA3 stratum lucidum"	<http://purl.obolibrary.org/obo/UBERON_0014560>	"field CA3, stratum lucidum"	<http://purl.obolibrary.org/obo/MBA_479>
"CA3 stratum lucidum"	<http://purl.obolibrary.org/obo/UBERON_0014560>	"hippocampal stratum lucidum of CA3"	<http://purl.obolibrary.org/obo/PBA_10071>
"CA3 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014553>	"Field CA3, stratum oriens"	<http://purl.obolibrary.org/obo/DMBA_16142>
"CA3 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014553>	"field CA3, stratum oriens"	<http://purl.obolibrary.org/obo/MBA_486>
"CA3 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014553>	"stratum oriens of CA3"	<http://purl.obolibrary.org/obo/PBA_10069>
"CA3 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014556>	"Field CA3, stratum radiatum"	<http://purl.obolibrary.org/obo/DMBA_16145>
"CA3 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014556>	"field CA3, stratum radiatum"	<http://purl.obolibrary.org/obo/MBA_504>
"CA3 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014556>	"stratum radiatum of CA3"	<http://purl.obolibrary.org/obo/PBA_10072>
"CA4 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003884>	"CA4 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10300>
"CA4 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003884>	"CA4 field"	<http://purl.obolibrary.org/obo/HBA_12895>
"CA4 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003884>	"CA4 region"	<http://purl.obolibrary.org/obo/PBA_10074>
"Meyer's loop of optic radiation"	<http://purl.obolibrary.org/obo/UBERON_0035935>	"Meyer's loop of optic radiation"	<http://purl.obolibrary.org/obo/HBA_265505214>
"Purkinje cell layer of cerebellar cortex"	<http://purl.obolibrary.org/obo/UBERON_0002979>	"cerebellar cortex, Purkinje layer"	<http://purl.obolibrary.org/obo/MBA_1145>
"abducens nerve"	<http://purl.obolibrary.org/obo/UBERON_0001646>	"abducens nerve"	<http://purl.obolibrary.org/obo/HBA_9325>
"abducens nerve"	<http://purl.obolibrary.org/obo/UBERON_0001646>	"abducens nerve"	<http://purl.obolibrary.org/obo/MBA_710>
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens nucleus"	<http://purl.obolibrary.org/obo/DHBA_12418>
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens motor nucleus"	<http://purl.obolibrary.org/obo/DMBA_17279>
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens nucleus"	<http://purl.obolibrary.org/obo/HBA_9136>
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens nucleus"	<http://purl.obolibrary.org/obo/MBA_653>
"accessory XI nerve"	<http://purl.obolibrary.org/obo/UBERON_0002019>	"accessory nerve"	<http://purl.obolibrary.org/obo/HBA_9340>
"accessory XI nerve"	<http://purl.obolibrary.org/obo/UBERON_0002019>	"accessory spinal nerve"	<http://purl.obolibrary.org/obo/MBA_717>
"accessory abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0035976>	"accessory abducens nucleus"	<http://purl.obolibrary.org/obo/MBA_568>
"accessory basal amygdaloid nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002885>	"basomedial nucleus (accessory basal nucleus)"	<http://purl.obolibrary.org/obo/DHBA_10369>
"accessory basal amygdaloid nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002885>	"basomedial nucleus"	<http://purl.obolibrary.org/obo/HBA_4350>
"accessory cuneate nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002864>	"accessory cuneate nucleus"	<http://purl.obolibrary.org/obo/HBA_9513>
"accessory cuneate nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002864>	"external cuneate nucleus"	<http://purl.obolibrary.org/obo/MBA_903>
"accessory nerve root"	<http://purl.obolibrary.org/obo/UBERON_0014615>	"root of accessory nerve"	<http://purl.obolibrary.org/obo/DHBA_12883>
"accessory nerve root"	<http://purl.obolibrary.org/obo/UBERON_0014615>	"accessory nerve root"	<http://purl.obolibrary.org/obo/DMBA_17749>
"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/UBERON_0004069>	"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/DMBA_15957>
"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/UBERON_0004069>	"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/MBA_151>
"accessory olfactory bulb external plexiform layer"	<http://purl.obolibrary.org/obo/UBERON_0019289>	"AOB, outer plexiform layer"	<http://purl.obolibrary.org/obo/DMBA_15965>
"accessory olfactory bulb glomerular layer"	<http://purl.obolibrary.org/obo/UBERON_0007631>	"AOB, glomerular layer"	<http://purl.obolibrary.org/obo/DMBA_15967>
"accessory olfactory bulb glomerular layer"	<http://purl.obolibrary.org/obo/UBERON_0007631>	"accessory olfactory bulb, glomerular layer"	<http://purl.obolibrary.org/obo/MBA_188>
"accessory olfactory bulb granule cell layer"	<http://purl.obolibrary.org/obo/UBERON_0015244>	"AOB, granular layer"	<http://purl.obolibrary.org/obo/DMBA_15961>
"accessory olfactory bulb granule cell layer"	<http://purl.obolibrary.org/obo/UBERON_0015244>	"accessory olfactory bulb, granular layer"	<http://purl.obolibrary.org/obo/MBA_196>
"accessory olfactory bulb internal plexiform layer"	<http://purl.obolibrary.org/obo/UBERON_0019290>	"AOB, internal plexiform layer"	<http://purl.obolibrary.org/obo/DMBA_15962>
"accessory olfactory bulb mitral cell layer"	<http://purl.obolibrary.org/obo/UBERON_0015432>	"accessory olfactory bulb, mitral layer"	<http://purl.obolibrary.org/obo/MBA_204>
"accessory optic tract"	<http://purl.obolibrary.org/obo/UBERON_0035595>	"accessory optic tract"	<http://purl.obolibrary.org/obo/MBA_876>
"agranular insular cortex"	<http://purl.obolibrary.org/obo/UBERON_0034893>	"dysgranular insular cortex"	<http://purl.obolibrary.org/obo/DHBA_10289>
"agranular insular cortex"	<http://purl.obolibrary.org/obo/UBERON_0034893>	"agranular insular cortex (area Iag)"	<http://purl.obolibrary.org/obo/DHBA_10328>
"allocortex"	<http://purl.obolibrary.org/obo/UBERON_0014734>	"allocortex"	<http://purl.obolibrary.org/obo/DHBA_10292>
"ambient gyrus"	<http://purl.obolibrary.org/obo/UBERON_0036164>	"ambiens gyrus"	<http://purl.obolibrary.org/obo/DHBA_12166>
"amiculum of inferior olive"	<http://purl.obolibrary.org/obo/UBERON_0035938>	"amiculum of the olive"	<http://purl.obolibrary.org/obo/DHBA_12728>
"amiculum of inferior olive"	<http://purl.obolibrary.org/obo/UBERON_0035938>	"amiculum of the olive"	<http://purl.obolibrary.org/obo/HBA_265505538>
"amygdala"	<http://purl.obolibrary.org/obo/UBERON_0001876>	"amygdaloid complex"	<http://purl.obolibrary.org/obo/DHBA_10361>
"amygdala"	<http://purl.obolibrary.org/obo/UBERON_0001876>	"amygdala"	<http://purl.obolibrary.org/obo/HBA_4327>
"amygdala"	<http://purl.obolibrary.org/obo/UBERON_0001876>	"amygdaloid complex"	<http://purl.obolibrary.org/obo/PBA_4002>
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/DHBA_10377>
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/DMBA_15945>
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area, left"	<http://purl.obolibrary.org/obo/HBA_4330>
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/PBA_10135>
"amygdalohippocampal area, magnocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035027>	"amygdalohippocampal area, left, magnocellular division"	<http://purl.obolibrary.org/obo/HBA_265504452>
"amygdalohippocampal area, magnocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035027>	"amygdalohippocampal area, magnocellualr part"	<http://purl.obolibrary.org/obo/PBA_10136>
"amygdalohippocampal area, parvocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035028>	"amygdalohippocampal area, left, parvocellular division"	<http://purl.obolibrary.org/obo/HBA_265504456>
"amygdalohippocampal area, parvocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035028>	"amygdalohippocampal area, parvocelluar part"	<http://purl.obolibrary.org/obo/PBA_10137>
"amygdalohippocampal transition area"	<http://purl.obolibrary.org/obo/UBERON_0035026>	"amygdalohippocampal transition area"	<http://purl.obolibrary.org/obo/DHBA_10380>
"amygdalopiriform transition area"	<http://purl.obolibrary.org/obo/UBERON_0034989>	"amygdalopiriform transition area"	<http://purl.obolibrary.org/obo/PBA_10140>
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"ABA entity"	<http://purl.obolibrary.org/obo/ABA_ENTITY>
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"DHBA entity"	<http://purl.obolibrary.org/obo/DHBA_ENTITY>
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"DMBA entity"	<http://purl.obolibrary.org/obo/DMBA_ENTITY>
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"HBA entity"	<http://purl.obolibrary.org/obo/HBA_ENTITY>
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"MBA entity"	<http://purl.obolibrary.org/obo/MBA_ENTITY>
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"PBA entity"	<http://purl.obolibrary.org/obo/PBA_ENTITY>
"angular gyrus"	<http://purl.obolibrary.org/obo/UBERON_0002686>	"angular gyrus"	<http://purl.obolibrary.org/obo/DHBA_12136>
"angular gyrus"	<http://purl.obolibrary.org/obo/UBERON_0002686>	"angular gyrus"	<http://purl.obolibrary.org/obo/HBA_4111>
"angular sulcus"	<http://purl.obolibrary.org/obo/UBERON_0026725>	"angular sulcus"	<http://purl.obolibrary.org/obo/HBA_9384>
"ansa lenticularis"	<http://purl.obolibrary.org/obo/UBERON_0009641>	"ansa lenticularis"	<http://purl.obolibrary.org/obo/DHBA_10571>
"ansa lenticularis"	<http://purl.obolibrary.org/obo/UBERON_0009641>	"ansa lenticularis"	<http://purl.obolibrary.org/obo/HBA_9237>
"ansa peduncularis"	<http://purl.obolibrary.org/obo/UBERON_0034896>	"ansa peduncularis"	<http://purl.obolibrary.org/obo/DHBA_266441591>
"ansa peduncularis"	<http://purl.obolibrary.org/obo/UBERON_0034896>	"ansa peduncularis"	<http://purl.obolibrary.org/obo/MBA_892>
"ansiform lobule"	<http://purl.obolibrary.org/obo/UBERON_0005348>	"ansiform lobule"	<http://purl.obolibrary.org/obo/MBA_1017>
"ansiform lobule crus I"	<http://purl.obolibrary.org/obo/UBERON_0005976>	"crus I"	<http://purl.obolibrary.org/obo/HBA_12938>
"ansiform lobule crus I"	<http://purl.obolibrary.org/obo/UBERON_0005976>	"crus 1"	<http://purl.obolibrary.org/obo/MBA_1056>
"ansiform lobule crus II"	<http://purl.obolibrary.org/obo/UBERON_0005977>	"crus II"	<http://purl.obolibrary.org/obo/HBA_12939>
"ansiform lobule crus II"	<http://purl.obolibrary.org/obo/UBERON_0005977>	"crus 2"	<http://purl.obolibrary.org/obo/MBA_1064>
"ansoparamedian fissure of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0014468>	"ansoparamedian fissure"	<http://purl.obolibrary.org/obo/DHBA_266441733>
"ansoparamedian fissure of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0014468>	"ansoparamedian fissure"	<http://purl.obolibrary.org/obo/HBA_9413>
"ansoparamedian fissure of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0014468>	"ansoparamedian fissure"	<http://purl.obolibrary.org/obo/MBA_43>
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/DHBA_10362>
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"basolateral amygdaloid nucleus, anterior part"	<http://purl.obolibrary.org/obo/DMBA_15994>
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/HBA_265504476>
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdalar area"	<http://purl.obolibrary.org/obo/MBA_23>
"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/UBERON_0002890>	"anterior amygdaloid area"	<http://purl.obolibrary.org/obo/PBA_10103>
"anterior column of fornix"	<http://purl.obolibrary.org/obo/UBERON_0002940>	"anterior column of the fornix, left"	<http://purl.obolibrary.org/obo/HBA_9251>
"anterior commissure"	<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"	<http://purl.obolibrary.org/obo/DHBA_10559>
"anterior commissure"	<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"	<http://purl.obolibrary.org/obo/DMBA_17751>
"anterior commissure"	<http://purl.obolibrary.org/obo/UBERON_0000935>	"anterior commissure"	<http://purl.obolibrary.org/obo/HBA_9221>
"anterior commissure anterior part"	<http://purl.obolibrary.org/obo/UBERON_0003039>	"anterior commissure, olfactory limb"	<http://purl.obolibrary.org/obo/MBA_900>
"anterior corona radiata"	<http://purl.obolibrary.org/obo/UBERON_0022425>	"anterior portion of corona radiata"	<http://purl.obolibrary.org/obo/DHBA_15541>
"anterior cortical amygdaloid nucleus"	<http://purl.obolibrary.org/obo/UBERON_0034991>	"anterior cortical amygdaloid area"	<http://purl.obolibrary.org/obo/DMBA_16000>
"anterior division of bed nuclei of stria terminalis"	<http://purl.obolibrary.org/obo/UBERON_0011173>	"bed nuclei of the stria terminalis, anterior division"	<http://purl.obolibrary.org/obo/MBA_359>
"anterior horn of lateral ventricle"	<http://purl.obolibrary.org/obo/UBERON_0002651>	"anterior horn of lateral ventricle"	<http://purl.obolibrary.org/obo/DHBA_10597>
"anterior hypothalamic commissure"	<http://purl.obolibrary.org/obo/UBERON_0002694>	"anterior hypothalamic area, left, central part"	<http://purl.obolibrary.org/obo/HBA_4600>
"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/UBERON_0002550>	"anterior hypothalamic area"	<http://purl.obolibrary.org/obo/DHBA_266441551>
"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/UBERON_0002550>	"anterior hypothalamic area"	<http://purl.obolibrary.org/obo/HBA_12902>
"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/UBERON_0002550>	"anterior hypothalamic region"	<http://purl.obolibrary.org/obo/HBA_4570>
"anterior limb of internal capsule"	<http://purl.obolibrary.org/obo/UBERON_0014526>	"anterior limb of internal capsule"	<http://purl.obolibrary.org/obo/DHBA_10582>
"anterior lobe of cerebellum"	<http://purl.obolibrary.org/obo/UBERON_0002131>	"anterior lobe"	<http://purl.obolibrary.org/obo/DHBA_12838>
"anterior median oculomotor nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002701>	"anterior median oculomotor nucleus"	<http://purl.obolibrary.org/obo/DHBA_12199>
"anterior median oculomotor nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002701>	"anterior median oculomotor nucleus, left"	<http://purl.obolibrary.org/obo/HBA_9032>
"anterior nuclear group"	<http://purl.obolibrary.org/obo/UBERON_0002788>	"anterior nuclear complex of thalamus"	<http://purl.obolibrary.org/obo/DHBA_10392>
"anterior nuclear group"	<http://purl.obolibrary.org/obo/UBERON_0002788>	"anterior group of the dorsal thalamus"	<http://purl.obolibrary.org/obo/MBA_239>
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/DHBA_10475>
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/DMBA_15662>
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/HBA_12903>
"anterior nucleus of hypothalamus"	<http://purl.obolibrary.org/obo/UBERON_0002634>	"anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/MBA_88>
"anterior nucleus of hypothalamus anterior part"	<http://purl.obolibrary.org/obo/UBERON_0014589>	"anterior hypothalamic nucleus, anterior part"	<http://purl.obolibrary.org/obo/MBA_700>
"anterior nucleus of hypothalamus central part"	<http://purl.obolibrary.org/obo/UBERON_0014590>	"anterior hypothalamic nucleus, central part"	<http://purl.obolibrary.org/obo/MBA_708>
"anterior nucleus of hypothalamus dorsal part"	<http://purl.obolibrary.org/obo/UBERON_0014592>	"anterior hypothalamic nucleus, dorsal part"	<http://purl.obolibrary.org/obo/MBA_716>
"anterior nucleus of hypothalamus posterior part"	<http://purl.obolibrary.org/obo/UBERON_0014591>	"posterior part of anterior hypothalamic nucleus"	<http://purl.obolibrary.org/obo/DMBA_16240>
"anterior nucleus of hypothalamus posterior part"	<http://purl.obolibrary.org/obo/UBERON_0014591>	"anterior hypothalamic nucleus, posterior part"	<http://purl.obolibrary.org/obo/MBA_724>
"anterior occipital sulcus"	<http://purl.obolibrary.org/obo/UBERON_0002906>	"anterior occipital sulcus"	<http://purl.obolibrary.org/obo/DHBA_146034784>
"anterior occipital sulcus"	<http://purl.obolibrary.org/obo/UBERON_0002906>	"anterior occipital sulcus"	<http://purl.obolibrary.org/obo/HBA_9385>
"anterior olfactory nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002266>	"anterior olfactory nucleus"	<http://purl.obolibrary.org/obo/DHBA_10308>
"anterior olfactory nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002266>	"anterior olfactory nucleus"	<http://purl.obolibrary.org/obo/HBA_4324>
"anterior olfactory nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002266>	"anterior olfactory nucleus"	<http://purl.obolibrary.org/obo/MBA_159>
"anterior orbital gyrus"	<http://purl.obolibrary.org/obo/UBERON_0022244>	"anterior orbital gyrus"	<http://purl.obolibrary.org/obo/HBA_4053>
"anterior parahippocampal gyrus"	<http://purl.obolibrary.org/obo/UBERON_0022383>	"anterior parahippocampal gyrus"	<http://purl.obolibrary.org/obo/DHBA_12163>
"anterior paraventricular nucleus of thalamus"	<http://purl.obolibrary.org/obo/UBERON_0000434>	"anterior paraventricular nucleus of thalamus"	<http://purl.obolibrary.org/obo/DMBA_16400>
"anterior paraventricular nucleus of thalamus"	<http://purl.obolibrary.org/obo/UBERON_0000434>	"periventricular nucleus of the hypothalamus, anterior part"	<http://purl.obolibrary.org/obo/HBA_12906>
"anterior paraventricular nucleus of thalamus"	<http://purl.obolibrary.org/obo/UBERON_0000434>	"periventricular hypothalamic nucleus, anterior part"	<http://purl.obolibrary.org/obo/MBA_30>
"anterior parolfactory sulcus"	<http://purl.obolibrary.org/obo/UBERON_0002919>	"rostral parolfactory sulcus"	<http://purl.obolibrary.org/obo/DHBA_146034824>
"anterior perforated substance"	<http://purl.obolibrary.org/obo/UBERON_0018141>	"anterior perforated substance"	<http://purl.obolibrary.org/obo/DHBA_10642>
