term,label
http://purl.obolibrary.org/obo/DHBA_11935,outer plexiform zone in posterosuperior (dorsal) parietal cortex
http://purl.obolibrary.org/obo/HBA_4761,"IX, right, paravermis"
http://purl.obolibrary.org/obo/HBA_265505158,lenticular fasciculus
http://purl.obolibrary.org/obo/DMBA_17197,ventricular zone of r4BI
http://purl.obolibrary.org/obo/DMBA_15675,ventromedial hypothalamic nucleus
http://purl.obolibrary.org/obo/DMBA_16044,temporal cortex
http://purl.obolibrary.org/obo/MBA_299,"Somatomotor areas, Layer 5"
http://purl.obolibrary.org/obo/HBA_4379,"lateral nucleus, left"
http://purl.obolibrary.org/obo/DHBA_146035064,laminar V and VI of spinal cord
http://purl.obolibrary.org/obo/HBA_9676,spinal trigeminal nucleus
http://purl.obolibrary.org/obo/DMBA_126651934,"ventricles, r6 floor plate"
http://purl.obolibrary.org/obo/DMBA_16965,pedunculopontine tegmental nucleus
http://purl.obolibrary.org/obo/HBA_265504978,"acoustic radiation, left"
http://purl.obolibrary.org/obo/DMBA_15911,intermediate stratum of OB
http://purl.obolibrary.org/obo/DMBA_16713,superficial stratum of m1AL
http://purl.obolibrary.org/obo/DMBA_17754,cerebellar commissure
http://purl.obolibrary.org/obo/HBA_4615,"paraventricular nucleus of the hypothalamus, right, magnocellular division, posterior magnocellular part, medial zone"
http://purl.obolibrary.org/obo/MBA_617,"Mediodorsal nucleus of the thalamus, central part"
http://purl.obolibrary.org/obo/DMBA_17521,r9 part of paragigantocellular nucleus
http://purl.obolibrary.org/obo/HBA_9137,"abducens nucleus, left"
http://purl.obolibrary.org/obo/DMBA_16666,superficial stratum of m1AD
http://purl.obolibrary.org/obo/HBA_4544,"medial preoptic nucleus, left"
http://purl.obolibrary.org/obo/DHBA_13120,SP in caudal subicular cortex
http://purl.obolibrary.org/obo/DHBA_266441673,subicular complex
http://purl.obolibrary.org/obo/DMBA_17474,r8 part of inferior olive
http://purl.obolibrary.org/obo/DHBA_10176,lateroventral subdivision of area 8
http://purl.obolibrary.org/obo/DHBA_11513,ventral division of lateral nucleus
http://purl.obolibrary.org/obo/DHBA_10935,layer V of area S1lm
http://purl.obolibrary.org/obo/DMBA_111220538,ventricular zone of CSPall
http://purl.obolibrary.org/obo/DMBA_17739,trigeminal nerve root
http://purl.obolibrary.org/obo/MBA_17,"Superior colliculus, motor related, intermediate white layer"
http://purl.obolibrary.org/obo/DHBA_11466,layer IIIa of area 35c
http://purl.obolibrary.org/obo/DHBA_11214,layer III of area 24
http://purl.obolibrary.org/obo/DHBA_10341,shell of nucleus accumbens
http://purl.obolibrary.org/obo/HBA_4117,"angular gyrus, right, inferior bank of gyrus"
http://purl.obolibrary.org/obo/MBA_330,"Retrosplenial area, dorsal part, layer 6b"
http://purl.obolibrary.org/obo/DMBA_111220670,intermediate stratum of r2Lim
http://purl.obolibrary.org/obo/DHBA_11167,layer IV of area 17
http://purl.obolibrary.org/obo/HBA_9487,"sagulum nucleus, left"
http://purl.obolibrary.org/obo/HBA_265504716,"lateral nucleus, left, dorsal anterior division"
http://purl.obolibrary.org/obo/DHBA_15535,uncinate nucleus
