o,s,olabel,slabel,user_olabel,user_slabel
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17623,http://purl.obolibrary.org/obo/DMBA_17624
UBERON:0002616,UBERON:0007632,regional part of brain,Barrington's nucleus,http://purl.obolibrary.org/obo/MBA_987,http://purl.obolibrary.org/obo/MBA_280
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_112892321,http://purl.obolibrary.org/obo/DMBA_16914
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16616,http://purl.obolibrary.org/obo/DMBA_16617
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15601,http://purl.obolibrary.org/obo/DMBA_15610
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17562,http://purl.obolibrary.org/obo/DMBA_111220912
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16847,http://purl.obolibrary.org/obo/DMBA_16848
UBERON:0002616,UBERON:0002708,regional part of brain,posterior periventricular nucleus,http://purl.obolibrary.org/obo/DMBA_16440,http://purl.obolibrary.org/obo/DMBA_16441
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220750,http://purl.obolibrary.org/obo/DMBA_17228
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16725,http://purl.obolibrary.org/obo/DMBA_16742
UBERON:0002616,UBERON:0002034,regional part of brain,suprachiasmatic nucleus,http://purl.obolibrary.org/obo/DMBA_15659,http://purl.obolibrary.org/obo/DMBA_15660
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16207,http://purl.obolibrary.org/obo/DMBA_16209
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_867,http://purl.obolibrary.org/obo/MBA_881
UBERON:0007634,UBERON:0002616,parabrachial nucleus,regional part of brain,http://purl.obolibrary.org/obo/MBA_867,http://purl.obolibrary.org/obo/MBA_881
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16971,http://purl.obolibrary.org/obo/DMBA_16973
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220906,http://purl.obolibrary.org/obo/DMBA_112892417
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17460,http://purl.obolibrary.org/obo/DMBA_17462
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16654,http://purl.obolibrary.org/obo/DMBA_114403711
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_370,http://purl.obolibrary.org/obo/MBA_135
UBERON:0002616,UBERON:0014473,regional part of brain,precentral fissure of cerebellum,http://purl.obolibrary.org/obo/MBA_1040,http://purl.obolibrary.org/obo/MBA_1087
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16345,http://purl.obolibrary.org/obo/DMBA_16346
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16313,http://purl.obolibrary.org/obo/DMBA_16322
UBERON:0002616,UBERON:0001946,regional part of brain,inferior colliculus,http://purl.obolibrary.org/obo/DMBA_16668,http://purl.obolibrary.org/obo/DMBA_16692
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16077,http://purl.obolibrary.org/obo/DMBA_16081
UBERON:0002435,UBERON:0002616,striatum,regional part of brain,http://purl.obolibrary.org/obo/MBA_477,http://purl.obolibrary.org/obo/MBA_485
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_477,http://purl.obolibrary.org/obo/MBA_485
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_896,http://purl.obolibrary.org/obo/MBA_1092
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_480149230,http://purl.obolibrary.org/obo/MBA_480149250
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_619,http://purl.obolibrary.org/obo/MBA_260
UBERON:0002893,UBERON:0002616,nucleus of lateral olfactory tract,regional part of brain,http://purl.obolibrary.org/obo/MBA_619,http://purl.obolibrary.org/obo/MBA_260
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_491,http://purl.obolibrary.org/obo/MBA_606826659
UBERON:0001939,UBERON:0002616,medial mammillary nucleus,regional part of brain,http://purl.obolibrary.org/obo/MBA_491,http://purl.obolibrary.org/obo/MBA_606826659
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15680,http://purl.obolibrary.org/obo/DMBA_15681
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17068,http://purl.obolibrary.org/obo/DMBA_17074
