ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
http://purl.obolibrary.org/obo/MBA_860	"parabrachial nucleus, lateral division, central lateral part"	http://purl.obolibrary.org/obo/UBERON_0003007		lateral parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_861	"subiculum, ventral part, stratum radiatum"	http://purl.obolibrary.org/obo/UBERON_0002191		subiculum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_862	"supplemental somatosensory area, layer 6a"	http://purl.obolibrary.org/obo/UBERON_0008934		secondary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_863	rubrospinal tract		http://purl.obolibrary.org/obo/UBERON_0002714	rubrospinal tract 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_865	"primary somatosensory area, layer 4"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_866	ventral spinocerebellar tract		http://purl.obolibrary.org/obo/UBERON_0002987	anterior spinocerebellar tract 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_867	parabrachial nucleus		http://purl.obolibrary.org/obo/UBERON_0007634	parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_868	"parabrachial nucleus, lateral division, dorsal lateral part"	http://purl.obolibrary.org/obo/UBERON_0003007		lateral parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_870	"subiculum, ventral part, pyramidal layer"	http://purl.obolibrary.org/obo/UBERON_0002191		subiculum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_873	"supplemental somatosensory area, layer 1"	http://purl.obolibrary.org/obo/UBERON_0008934		secondary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_874	parabigeminal nucleus		http://purl.obolibrary.org/obo/UBERON_0002140	parabigeminal nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_875	"parabrachial nucleus, lateral division, external lateral part"	http://purl.obolibrary.org/obo/UBERON_0003007		lateral parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_876	accessory optic tract		http://purl.obolibrary.org/obo/UBERON_0035595	accessory optic tract 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_877	tectospinal pathway		http://purl.obolibrary.org/obo/UBERON_0002949	tectospinal tract 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_878	"primary somatosensory area, mouth, layer 1"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_879	"retrosplenial area, dorsal part"	http://purl.obolibrary.org/obo/UBERON_0013531		retrosplenial region 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_880	dorsal tegmental nucleus		http://purl.obolibrary.org/obo/UBERON_0002143	dorsal tegmental nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_882	"primary motor area, Layer 6b"	http://purl.obolibrary.org/obo/UBERON_0001384		primary motor cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_883	"parabrachial nucleus, lateral division, superior lateral part"	http://purl.obolibrary.org/obo/UBERON_0003007		lateral parabrachial nucleus 	Verified	https://ror.org/03cpe7c52
