ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
http://purl.obolibrary.org/obo/DMBA_15763	vertical nucleus of the diagonal band	http://purl.obolibrary.org/obo/UBERON_0001879		nucleus of diagonal band 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15764	medial septal nucleus		http://purl.obolibrary.org/obo/UBERON_0001877	medial septal nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15769	"lateral septal nucleus, intermediate part, periventricular"	http://purl.obolibrary.org/obo/UBERON_0002667		lateral septal nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15771	"lateral septal nucleus, intermedio-intermediate part"	http://purl.obolibrary.org/obo/UBERON_0002667		lateral septal nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15778	"lateral septal nucleus, dorsal part"	http://purl.obolibrary.org/obo/UBERON_0002667		lateral septal nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15779	triangular septal nucleus		http://purl.obolibrary.org/obo/UBERON_0002977	triangular septal nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15779	triangular septal nucleus		http://purl.obolibrary.org/obo/UBERON_0002977	triangular septal nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15780	septofimbrial nucleus		http://purl.obolibrary.org/obo/UBERON_0001878	septofimbrial nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15782	"lateral septal nucleus, intermedio-dorsal part"	http://purl.obolibrary.org/obo/UBERON_0002667		lateral septal nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15789	"bed nucleus of the stria terminalis, medioseptal division"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15790	"nucleus of the stria terminalis, medial division, ventral part"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15791	"nucleus of the stria terminalis, medial division, anterior part"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15793	"substantia innominata/basal nucleus, transitional part"	http://purl.obolibrary.org/obo/UBERON_0003017		substantia innominata 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15794	bed nucleus of the anterior commissure		http://purl.obolibrary.org/obo/UBERON_0002933	nucleus of anterior commissure	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15794	bed nucleus of the anterior commissure		http://purl.obolibrary.org/obo/UBERON_0002933	nucleus of anterior commissure 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15796	"horizontal nucleus of the diagonal band, transitional part"	http://purl.obolibrary.org/obo/UBERON_0001879		nucleus of diagonal band 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15801	"bed nucleus of the stria terminalis, lateroseptal division"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15802	"nucleus of the stria terminalis, lateral division, intermediate part"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15807	septopallidal part of the olfactory tuberculum	http://purl.obolibrary.org/obo/UBERON_0001883		olfactory tubercle 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15808	island of Calleja major		http://purl.obolibrary.org/obo/UBERON_0023868	isla magna of Calleja 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15813	"accumbens nucleus, core domain"		http://purl.obolibrary.org/obo/UBERON_0012170	core of nucleus accumbens 	Verified	https://ror.org/03cpe7c52
