?supname	?sup	?subname	?sub	?inferred
"Meyer's loop of optic radiation"	<http://purl.obolibrary.org/obo/UBERON_0035935>	"Meyer's loop of optic radiation "	<http://purl.obolibrary.org/obo/HBA_265505214>	"true"
"Purkinje cell layer of cerebellar cortex"	<http://purl.obolibrary.org/obo/UBERON_0002979>	"Cerebellar cortex, Purkinje layer"	<http://purl.obolibrary.org/obo/MBA_1145>	"true"
"abducens nerve"	<http://purl.obolibrary.org/obo/UBERON_0001646>	"abducens nerve"	<http://purl.obolibrary.org/obo/HBA_9325>	"true"
"abducens nerve"	<http://purl.obolibrary.org/obo/UBERON_0001646>	"abducens nerve"	<http://purl.obolibrary.org/obo/MBA_710>	"true"
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens nucleus"	<http://purl.obolibrary.org/obo/DHBA_12418>	"true"
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens motor nucleus"	<http://purl.obolibrary.org/obo/DMBA_17279>	"true"
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"abducens nucleus"	<http://purl.obolibrary.org/obo/HBA_9136>	"true"
"abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002682>	"Abducens nucleus"	<http://purl.obolibrary.org/obo/MBA_653>	"true"
"accessory XI nerve"	<http://purl.obolibrary.org/obo/UBERON_0002019>	"accessory nerve"	<http://purl.obolibrary.org/obo/HBA_9340>	"true"
"accessory XI nerve"	<http://purl.obolibrary.org/obo/UBERON_0002019>	"accessory spinal nerve"	<http://purl.obolibrary.org/obo/MBA_717>	"true"
"accessory abducens nucleus"	<http://purl.obolibrary.org/obo/UBERON_0035976>	"Accessory abducens nucleus"	<http://purl.obolibrary.org/obo/MBA_568>	"true"
"accessory basal amygdaloid nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002885>	"basomedial nucleus (accessory basal nucleus)"	<http://purl.obolibrary.org/obo/DHBA_10369>	"true"
"accessory basal amygdaloid nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002885>	"basomedial nucleus"	<http://purl.obolibrary.org/obo/HBA_4350>	"true"
"accessory cuneate nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002864>	"accessory cuneate nucleus"	<http://purl.obolibrary.org/obo/HBA_9513>	"true"
"accessory cuneate nucleus"	<http://purl.obolibrary.org/obo/UBERON_0002864>	"External cuneate nucleus"	<http://purl.obolibrary.org/obo/MBA_903>	"true"
"accessory nerve root"	<http://purl.obolibrary.org/obo/UBERON_0014615>	"root of accessory nerve"	<http://purl.obolibrary.org/obo/DHBA_12883>	"true"
"accessory nerve root"	<http://purl.obolibrary.org/obo/UBERON_0014615>	"accessory nerve root"	<http://purl.obolibrary.org/obo/DMBA_17749>	"true"
"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/UBERON_0004069>	"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/DMBA_15957>	"true"
"accessory olfactory bulb"	<http://purl.obolibrary.org/obo/UBERON_0004069>	"Accessory olfactory bulb"	<http://purl.obolibrary.org/obo/MBA_151>	"true"
"accessory olfactory bulb external plexiform layer"	<http://purl.obolibrary.org/obo/UBERON_0019289>	"AOB, outer plexiform layer"	<http://purl.obolibrary.org/obo/DMBA_15965>	"true"
"accessory olfactory bulb glomerular layer"	<http://purl.obolibrary.org/obo/UBERON_0007631>	"AOB, glomerular layer"	<http://purl.obolibrary.org/obo/DMBA_15967>	"true"
"accessory olfactory bulb glomerular layer"	<http://purl.obolibrary.org/obo/UBERON_0007631>	"Accessory olfactory bulb, glomerular layer"	<http://purl.obolibrary.org/obo/MBA_188>	"true"
"accessory olfactory bulb granule cell layer"	<http://purl.obolibrary.org/obo/UBERON_0015244>	"AOB, granular layer"	<http://purl.obolibrary.org/obo/DMBA_15961>	"true"
"accessory olfactory bulb granule cell layer"	<http://purl.obolibrary.org/obo/UBERON_0015244>	"Accessory olfactory bulb, granular layer"	<http://purl.obolibrary.org/obo/MBA_196>	"true"
"accessory olfactory bulb internal plexiform layer"	<http://purl.obolibrary.org/obo/UBERON_0019290>	"AOB, internal plexiform layer"	<http://purl.obolibrary.org/obo/DMBA_15962>	"true"
"accessory olfactory bulb mitral cell layer"	<http://purl.obolibrary.org/obo/UBERON_0015432>	"Accessory olfactory bulb, mitral layer"	<http://purl.obolibrary.org/obo/MBA_204>	"true"
"accessory optic tract"	<http://purl.obolibrary.org/obo/UBERON_0035595>	"accessory optic tract"	<http://purl.obolibrary.org/obo/MBA_876>	"true"
"agranular insular cortex"	<http://purl.obolibrary.org/obo/UBERON_0034893>	"dysgranular insular cortex"	<http://purl.obolibrary.org/obo/DHBA_10289>	"true"
"agranular insular cortex"	<http://purl.obolibrary.org/obo/UBERON_0034893>	"agranular insular cortex (area Iag)"	<http://purl.obolibrary.org/obo/DHBA_10328>	"true"
"allocortex"	<http://purl.obolibrary.org/obo/UBERON_0014734>	"allocortex"	<http://purl.obolibrary.org/obo/DHBA_10292>	"true"
"ambient gyrus"	<http://purl.obolibrary.org/obo/UBERON_0036164>	"ambiens gyrus"	<http://purl.obolibrary.org/obo/DHBA_12166>	"true"
"amiculum of inferior olive"	<http://purl.obolibrary.org/obo/UBERON_0035938>	"amiculum of the olive"	<http://purl.obolibrary.org/obo/DHBA_12728>	"true"
"amiculum of inferior olive"	<http://purl.obolibrary.org/obo/UBERON_0035938>	"amiculum of the olive"	<http://purl.obolibrary.org/obo/HBA_265505538>	"true"
"amygdala"	<http://purl.obolibrary.org/obo/UBERON_0001876>	"amygdaloid complex"	<http://purl.obolibrary.org/obo/DHBA_10361>	
"amygdala"	<http://purl.obolibrary.org/obo/UBERON_0001876>	"amygdala"	<http://purl.obolibrary.org/obo/HBA_4327>	
"amygdala"	<http://purl.obolibrary.org/obo/UBERON_0001876>	"amygdaloid complex"	<http://purl.obolibrary.org/obo/PBA_4002>	"true"
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/DHBA_10377>	
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area, left"	<http://purl.obolibrary.org/obo/HBA_4330>	
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/DMBA_15945>	"true"
"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/UBERON_0034673>	"amygdalohippocampal area"	<http://purl.obolibrary.org/obo/PBA_10135>	"true"
"amygdalohippocampal area, magnocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035027>	"amygdalohippocampal area, left, magnocellular division"	<http://purl.obolibrary.org/obo/HBA_265504452>	
"amygdalohippocampal area, magnocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035027>	"amygdalohippocampal area, magnocellualr part"	<http://purl.obolibrary.org/obo/PBA_10136>	"true"
"amygdalohippocampal area, parvocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035028>	"amygdalohippocampal area, left, parvocellular division"	<http://purl.obolibrary.org/obo/HBA_265504456>	
"amygdalohippocampal area, parvocellular division"	<http://purl.obolibrary.org/obo/UBERON_0035028>	"amygdalohippocampal area, parvocelluar part"	<http://purl.obolibrary.org/obo/PBA_10137>	"true"
"amygdalohippocampal transition area"	<http://purl.obolibrary.org/obo/UBERON_0035026>	"amygdalohippocampal transition area"	<http://purl.obolibrary.org/obo/DHBA_10380>	"true"
"amygdalopiriform transition area"	<http://purl.obolibrary.org/obo/UBERON_0034989>	"amygdalopiriform transition area"	<http://purl.obolibrary.org/obo/PBA_10140>	"true"
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"DHBA entity"	<http://purl.obolibrary.org/obo/DHBA_ENTITY>	
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"HBA entity"	<http://purl.obolibrary.org/obo/HBA_ENTITY>	
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"ABA entity"	<http://purl.obolibrary.org/obo/ABA_ENTITY>	"true"
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"DMBA entity"	<http://purl.obolibrary.org/obo/DMBA_ENTITY>	"true"
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"MBA entity"	<http://purl.obolibrary.org/obo/MBA_ENTITY>	"true"
"anatomical entity"	<http://purl.obolibrary.org/obo/UBERON_0001062>	"PBA entity"	<http://purl.obolibrary.org/obo/PBA_ENTITY>	"true"
"angular gyrus"	<http://purl.obolibrary.org/obo/UBERON_0002686>	"angular gyrus"	<http://purl.obolibrary.org/obo/DHBA_12136>	"true"
"angular gyrus"	<http://purl.obolibrary.org/obo/UBERON_0002686>	"angular gyrus"	<http://purl.obolibrary.org/obo/HBA_4111>	"true"
"angular sulcus"	<http://purl.obolibrary.org/obo/UBERON_0026725>	"angular sulcus"	<http://purl.obolibrary.org/obo/HBA_9384>	"true"
"ansa lenticularis"	<http://purl.obolibrary.org/obo/UBERON_0009641>	"ansa lenticularis"	<http://purl.obolibrary.org/obo/DHBA_10571>	"true"
"ansa lenticularis"	<http://purl.obolibrary.org/obo/UBERON_0009641>	"ansa lenticularis"	<http://purl.obolibrary.org/obo/HBA_9237>	"true"
"ansa peduncularis"	<http://purl.obolibrary.org/obo/UBERON_0034896>	"ansa peduncularis"	<http://purl.obolibrary.org/obo/DHBA_266441591>	"true"
"ansa peduncularis"	<http://purl.obolibrary.org/obo/UBERON_0034896>	"ansa peduncularis"	<http://purl.obolibrary.org/obo/MBA_892>	"true"
"ansiform lobule"	<http://purl.obolibrary.org/obo/UBERON_0005348>	"Ansiform lobule"	<http://purl.obolibrary.org/obo/MBA_1017>	"true"
"ansiform lobule crus I"	<http://purl.obolibrary.org/obo/UBERON_0005976>	"crus I"	<http://purl.obolibrary.org/obo/HBA_12938>	"true"
